Município,Branca,Parda,Nome_UF,id,Vencedor
Itapebi (BA),0.190566936636494,0.595235826584088,Bahia,2916302,Parda
Itapetinga (BA),0.269374423271279,0.601863108403029,Bahia,2916401,Parda
Itapicuru (BA),0.200396763894486,0.737236911441059,Bahia,2916500,Parda
Itapitanga (BA),0.175663760164593,0.690898403056726,Bahia,2916609,Parda
Itaquara (BA),0.26048450117218,0.635191456108362,Bahia,2916708,Parda
Itarantim (BA),0.274718161713145,0.627757699983818,Bahia,2916807,Parda
Itatim (BA),0.248657209750723,0.616512877014185,Bahia,2916856,Parda
Itiruçu (BA),0.224927125187111,0.641140786260143,Bahia,2916906,Parda
Itiúba (BA),0.198238861351868,0.70467698612688,Bahia,2917003,Parda
Itororó (BA),0.223561313648689,0.663251983529175,Bahia,2917102,Parda
Ituaçu (BA),0.402824515915485,0.513543333149446,Bahia,2917201,Parda
Ituberá (BA),0.172501974352224,0.576172389154225,Bahia,2917300,Parda
Iuiu (BA),0.242660550458716,0.630091743119266,Bahia,2917334,Parda
Jaborandi (BA),0.294884653961886,0.630112559901928,Bahia,2917359,Parda
Jacaraci (BA),0.388469709178815,0.583107464654604,Bahia,2917409,Parda
Jacobina (BA),0.238305550998776,0.604906179413732,Bahia,2917508,Parda
Jaguaquara (BA),0.257963968555802,0.575209268589128,Bahia,2917607,Parda
Jaguarari (BA),0.250634413208977,0.665721912797021,Bahia,2917706,Parda
Jaguaripe (BA),0.101718588692537,0.624582498329993,Bahia,2917805,Parda
Jandaíra (BA),0.0949569257574291,0.851127673990901,Bahia,2917904,Parda
Jequié (BA),0.262865795450805,0.594950459198789,Bahia,2918001,Parda
Jeremoabo (BA),0.259182590233546,0.659633757961784,Bahia,2918100,Parda
Jiquiriçá (BA),0.203924068564952,0.570760730981725,Bahia,2918209,Parda
Jitaúna (BA),0.196599362380446,0.660857244066596,Bahia,2918308,Parda
João Dourado (BA),0.239286664892201,0.6267855558513,Bahia,2918357,Parda
Juazeiro (BA),0.251125198898795,0.613517540979466,Bahia,2918407,Parda
Jucuruçu (BA),0.163848396501458,0.810689990281827,Bahia,2918456,Parda
Jussara (BA),0.279630613871911,0.618522455487643,Bahia,2918506,Parda
Jussari (BA),0.164504170528267,0.691844300278035,Bahia,2918555,Parda
Jussiape (BA),0.450877848337691,0.460092142946084,Bahia,2918605,Parda
Lafaiete Coutinho (BA),0.234298897718534,0.595231991796975,Bahia,2918704,Parda
Lagoa Real (BA),0.478541696569542,0.437132194631836,Bahia,2918753,Branca
Laje (BA),0.177514526372686,0.520291878744201,Bahia,2918803,Parda
Lajedão (BA),0.281810875971069,0.636485400482186,Bahia,2918902,Parda
Lajedinho (BA),0.168191056910569,0.669969512195122,Bahia,2919009,Parda
Lajedo do Tabocal (BA),0.286694762191451,0.594340758579169,Bahia,2919058,Parda
Lamarão (BA),0.0944560669456067,0.686715481171548,Bahia,2919108,Parda
Lapão (BA),0.244521562816813,0.591944162832411,Bahia,2919157,Parda
Lauro de Freitas (BA),0.226245590828924,0.510612629825593,Bahia,2919207,Parda
Lençóis (BA),0.136670524691358,0.639467592592593,Bahia,2919306,Parda
Licínio de Almeida (BA),0.376979936642027,0.559905775322882,Bahia,2919405,Parda
Livramento de Nossa Senhora (BA),0.428220082917574,0.469304101374933,Bahia,2919504,Parda
Luís Eduardo Magalhães (BA),0.329024207636636,0.587971050661343,Bahia,2919553,Parda
Macajuba (BA),0.193427731765963,0.668803989669606,Bahia,2919603,Parda
Macarani (BA),0.295618089276312,0.602936874744047,Bahia,2919702,Parda
Macaúbas (BA),0.377802809717115,0.549786401989331,Bahia,2919801,Parda
Macururé (BA),0.220983525331351,0.636194723151245,Bahia,2919900,Parda
Madre de Deus (BA),0.118726979742173,0.70798802946593,Bahia,2919926,Parda
Maetinga (BA),0.322961068485365,0.618357487922705,Bahia,2919959,Parda
Maiquinique (BA),0.271692097472102,0.637895695741289,Bahia,2920007,Parda
Mairi (BA),0.243195694918762,0.658335920521577,Bahia,2920106,Parda
Malhada (BA),0.104346197077557,0.783564381166479,Bahia,2920205,Parda
Malhada de Pedras (BA),0.446504487482286,0.506731223429381,Bahia,2920304,Parda
Manoel Vitorino (BA),0.345450754153055,0.592548828803781,Bahia,2920403,Parda
Mansidão (BA),0.0899777636594663,0.817503176620076,Bahia,2920452,Parda
Maracás (BA),0.297566326737903,0.585219193109332,Bahia,2920502,Parda
Maragogipe (BA),0.170290785939507,0.593156603993927,Bahia,2920601,Parda
Maraú (BA),0.107376577142558,0.561698340401026,Bahia,2920700,Parda
Marcionílio Souza (BA),0.151904761904762,0.716952380952381,Bahia,2920809,Parda
Mascote (BA),0.173224043715847,0.634631147540984,Bahia,2920908,Parda
Mata de São João (BA),0.116641365751686,0.604160963591569,Bahia,2921005,Parda
Matina (BA),0.273755047106326,0.594616419919246,Bahia,2921054,Parda
Medeiros Neto (BA),0.274721706864564,0.644805194805195,Bahia,2921104,Parda
Miguel Calmon (BA),0.209707271010387,0.668404154863078,Bahia,2921203,Parda
Milagres (BA),0.254317873083641,0.660197942945857,Bahia,2921302,Parda
Mirangaba (BA),0.178082191780822,0.650285644081332,Bahia,2921401,Parda
Mirante (BA),0.404111544684496,0.562577329399448,Bahia,2921450,Parda
Monte Santo (BA),0.374699071420383,0.568535289846765,Bahia,2921500,Parda
Morpará (BA),0.236594202898551,0.705797101449275,Bahia,2921609,Parda
Morro do Chapéu (BA),0.211807530428848,0.60294619497213,Bahia,2921708,Parda
Mortugaba (BA),0.321471507573936,0.619299511100425,Bahia,2921807,Parda
Mucugê (BA),0.251588430535799,0.634708392603129,Bahia,2921906,Parda
Mucuri (BA),0.217176483650697,0.597096541386776,Bahia,2922003,Parda
Mulungu do Morro (BA),0.224671401747081,0.708139439954282,Bahia,2922052,Parda
Mundo Novo (BA),0.201024800163968,0.68813281410125,Bahia,2922102,Parda
Muniz Ferreira (BA),0.17630176301763,0.599152658193249,Bahia,2922201,Parda
Muquém do São Francisco (BA),0.150116822429907,0.698598130841122,Bahia,2922250,Parda
Muritiba (BA),0.123879719021419,0.578393716045538,Bahia,2922300,Parda
Mutuípe (BA),0.181873280805632,0.562636952771691,Bahia,2922409,Parda
Nazaré (BA),0.14438659529222,0.620261054484124,Bahia,2922508,Parda
Nilo Peçanha (BA),0.133758978451716,0.699281723862729,Bahia,2922607,Parda
Nordestina (BA),0.24112844555816,0.71336189475386,Bahia,2922656,Parda
Nova Canaã (BA),0.292407108239095,0.603901154789685,Bahia,2922706,Parda
Nova Fátima (BA),0.238752959747435,0.673375427519074,Bahia,2922730,Parda
Nova Ibiá (BA),0.169975932611312,0.585890493381468,Bahia,2922755,Parda
Nova Itarana (BA),0.229993275050437,0.630665770006725,Bahia,2922805,Parda
Nova Redenção (BA),0.152476972865322,0.643764002987304,Bahia,2922854,Parda
Nova Soure (BA),0.201856148491879,0.678074245939675,Bahia,2922904,Parda
Nova Viçosa (BA),0.212859217761179,0.601099699138915,Bahia,2923001,Parda
Novo Horizonte (BA),0.372903588494331,0.51812986039539,Bahia,2923035,Parda
Novo Triunfo (BA),0.383695435519235,0.520364095408943,Bahia,2923050,Parda
Olindina (BA),0.198412380226917,0.712945515775969,Bahia,2923100,Parda
Oliveira dos Brejinhos (BA),0.22967340021071,0.715542119005084,Bahia,2923209,Parda
Ouriçangas (BA),0.0631477464449265,0.535068691250904,Bahia,2923308,Parda
Ourolândia (BA),0.210289193302892,0.619360730593607,Bahia,2923357,Parda
Palmas de Monte Alto (BA),0.240336943441637,0.585415162454874,Bahia,2923407,Parda
Palmeiras (BA),0.15909631391201,0.658858501783591,Bahia,2923506,Parda
Paramirim (BA),0.362554164087424,0.543116994428837,Bahia,2923605,Parda
Paratinga (BA),0.164418383947939,0.690923264642082,Bahia,2923704,Parda
Paripiranga (BA),0.384404924760602,0.564151486788106,Bahia,2923803,Parda
Pau Brasil (BA),0.174253593807593,0.475027644673793,Bahia,2923902,Parda
Paulo Afonso (BA),0.326460385992103,0.600381932912654,Bahia,2924009,Parda
Pé de Serra (BA),0.275959860383944,0.6260907504363,Bahia,2924058,Parda
Pedrão (BA),0.058173356602676,0.608202443280977,Bahia,2924108,Parda
Pedro Alexandre (BA),0.140923801117976,0.810944395410415,Bahia,2924207,Parda
Piatã (BA),0.308252697141586,0.589533978422867,Bahia,2924306,Parda
Pilão Arcado (BA),0.193213633597079,0.713694461351187,Bahia,2924405,Parda
Pindaí (BA),0.238802149987202,0.695866393652419,Bahia,2924504,Parda
Pindobaçu (BA),0.239302221559565,0.596043934198102,Bahia,2924603,Parda
Pintadas (BA),0.182073099980661,0.724327982982015,Bahia,2924652,Parda
Piraí do Norte (BA),0.153995305643433,0.662516583324829,Bahia,2924678,Parda
Piripá (BA),0.242196667448956,0.705155284362043,Bahia,2924702,Parda
Piritiba (BA),0.208937899013349,0.68244118040984,Bahia,2924801,Parda
Planaltino (BA),0.291317161641351,0.592496032645659,Bahia,2924900,Parda
Planalto (BA),0.327151668640987,0.609084596217475,Bahia,2925006,Parda
Poções (BA),0.308002058119505,0.60748081698396,Bahia,2925105,Parda
Pojuca (BA),0.149700598802395,0.578630617552773,Bahia,2925204,Parda
Ponto Novo (BA),0.207152839537543,0.718333121585567,Bahia,2925253,Parda
Porto Seguro (BA),0.235708433127442,0.588577776377159,Bahia,2925303,Parda
Potiraguá (BA),0.21243628950051,0.640061162079511,Bahia,2925402,Parda
Prado (BA),0.155355268396858,0.603322836355739,Bahia,2925501,Parda
Presidente Dutra (BA),0.324436363636364,0.600363636363636,Bahia,2925600,Parda
Presidente Jânio Quadros (BA),0.377893348959859,0.577204805156754,Bahia,2925709,Parda
Presidente Tancredo Neves (BA),0.186865721714334,0.627358886186362,Bahia,2925758,Parda
Queimadas (BA),0.248150556865295,0.670880416226323,Bahia,2925808,Parda
Quijingue (BA),0.174085500220361,0.78632290289408,Bahia,2925907,Parda
Quixabeira (BA),0.244714255809085,0.675737910822692,Bahia,2925931,Parda
Rafael Jambeiro (BA),0.169799772667658,0.71351753082102,Bahia,2925956,Parda
Remanso (BA),0.292707343994661,0.564237492620068,Bahia,2926004,Parda
Retirolândia (BA),0.310244711737868,0.594027374533389,Bahia,2926103,Parda
Riachão das Neves (BA),0.164698910516479,0.733053744814697,Bahia,2926202,Parda
Riachão do Jacuípe (BA),0.274327746292054,0.581906427107199,Bahia,2926301,Parda
Riacho de Santana (BA),0.370586699732428,0.484728839000196,Bahia,2926400,Parda
Ribeira do Amparo (BA),0.212314373774166,0.732418044270104,Bahia,2926509,Parda
Ribeira do Pombal (BA),0.324634875205185,0.570836314659708,Bahia,2926608,Parda
Ribeirão do Largo (BA),0.244092655104179,0.662088231870562,Bahia,2926657,Parda
Rio de Contas (BA),0.477512108864458,0.364726685630814,Bahia,2926707,Branca
Rio do Antônio (BA),0.464056699291259,0.484238947013162,Bahia,2926806,Parda
Rio do Pires (BA),0.47902332606142,0.462409800302064,Bahia,2926905,Branca
Rio Real (BA),0.245318049725541,0.675034980088257,Bahia,2927002,Parda
Rodelas (BA),0.300450160771704,0.46508038585209,Bahia,2927101,Parda
Ruy Barbosa (BA),0.197176029711915,0.638371198179811,Bahia,2927200,Parda
Salinas da Margarida (BA),0.0564803804994055,0.520436979785969,Bahia,2927309,Parda
Salvador (BA),0.189008221275438,0.516789433825723,Bahia,2927408,Parda
Santa Bárbara (BA),0.130927402433907,0.66958665547629,Bahia,2927507,Parda
Santa Brígida (BA),0.257503320053121,0.688977423638778,Bahia,2927606,Parda
Santa Cruz Cabrália (BA),0.184282668291197,0.569106000609199,Bahia,2927705,Parda
Santa Cruz da Vitória (BA),0.187921474599131,0.731155402367751,Bahia,2927804,Parda
Santa Inês (BA),0.205828428061372,0.642381549744283,Bahia,2927903,Parda
Santaluz (BA),0.220196229091554,0.670400141852355,Bahia,2928000,Parda
Santa Luzia (BA),0.142386091127098,0.670413669064748,Bahia,2928059,Parda
Santa Maria da Vitória (BA),0.30256270311841,0.589992309409809,Bahia,2928109,Parda
Santana (BA),0.32759595959596,0.596686868686869,Bahia,2928208,Parda
Santanópolis (BA),0.102210574293528,0.628418413855971,Bahia,2928307,Parda
Santa Rita de Cássia (BA),0.22087619047619,0.686438095238095,Bahia,2928406,Parda
Santa Terezinha (BA),0.193511608623549,0.660655058043118,Bahia,2928505,Parda
Santo Amaro (BA),0.0760899653979239,0.513979238754325,Bahia,2928604,Parda
Santo Antônio de Jesus (BA),0.222849920316536,0.536846732977963,Bahia,2928703,Parda
Santo Estêvão (BA),0.13874269005848,0.636591478696742,Bahia,2928802,Parda
São Desidério (BA),0.262645984741657,0.663231731568861,Bahia,2928901,Parda
São Domingos (BA),0.226533709083026,0.68989811402558,Bahia,2928950,Parda
São Félix (BA),0.106894594978011,0.578734572279756,Bahia,2929008,Parda
São Félix do Coribe (BA),0.323114653586757,0.579782342121398,Bahia,2929057,Parda
São Felipe (BA),0.179019945826151,0.582762866289091,Bahia,2929107,Parda
São Francisco do Conde (BA),0.0674743091341952,0.508633939065184,Bahia,2929206,Parda
São Gabriel (BA),0.26613122049167,0.638899441037608,Bahia,2929255,Parda
São Gonçalo dos Campos (BA),0.0743622870534507,0.499714568999189,Bahia,2929305,Parda
São José da Vitória (BA),0.126334208223972,0.591076115485564,Bahia,2929354,Parda
São José do Jacuípe (BA),0.271218074656189,0.623870333988212,Bahia,2929370,Parda
São Miguel das Matas (BA),0.224121375072018,0.449779143460726,Bahia,2929404,Parda
São Sebastião do Passé (BA),0.0949161388276042,0.567480369131497,Bahia,2929503,Parda
Sapeaçu (BA),0.122158577027434,0.585770274344287,Bahia,2929602,Parda
Sátiro Dias (BA),0.227800042185193,0.573824087745201,Bahia,2929701,Parda
Saubara (BA),0.0748147486831533,0.547094009463441,Bahia,2929750,Parda
Saúde (BA),0.182693119459688,0.679527226677923,Bahia,2929800,Parda
Seabra (BA),0.258313794918417,0.620292836977846,Bahia,2929909,Parda
Sebastião Laranjeiras (BA),0.223797126603028,0.720084851991129,Bahia,2930006,Parda
Senhor do Bonfim (BA),0.263064539969631,0.636154745427915,Bahia,2930105,Parda
Serra do Ramalho (BA),0.205038245148239,0.653201845881535,Bahia,2930154,Parda
Sento Sé (BA),0.203794255177021,0.697768871075484,Bahia,2930204,Parda
Serra Dourada (BA),0.266674028268551,0.663593197879859,Bahia,2930303,Parda
Serra Preta (BA),0.123571428571429,0.669545454545455,Bahia,2930402,Parda
Serrinha (BA),0.213074177327323,0.598824939423152,Bahia,2930501,Parda
Serrolândia (BA),0.245058327932599,0.653110823071938,Bahia,2930600,Parda
Simões Filho (BA),0.129135005548637,0.579845315848772,Bahia,2930709,Parda
Sítio do Mato (BA),0.174190871369295,0.651369294605809,Bahia,2930758,Parda
Sítio do Quinto (BA),0.309085133418043,0.624285260482846,Bahia,2930766,Parda
Sobradinho (BA),0.245863636363636,0.629636363636364,Bahia,2930774,Parda
Souto Soares (BA),0.26976539404994,0.657211145355054,Bahia,2930808,Parda
Tabocas do Brejo Velho (BA),0.321844108127023,0.612194908581926,Bahia,2930907,Parda
Tanhaçu (BA),0.393244391145755,0.553190426222955,Bahia,2931004,Parda
Tanque Novo (BA),0.375248015873016,0.551153273809524,Bahia,2931053,Parda
Tanquinho (BA),0.10477022977023,0.555694305694306,Bahia,2931103,Parda
Taperoá (BA),0.117879240452315,0.662790697674419,Bahia,2931202,Parda
Tapiramutá (BA),0.177100992976508,0.700775006054735,Bahia,2931301,Parda
Teixeira de Freitas (BA),0.274987169385793,0.600725742910634,Bahia,2931350,Parda
Teodoro Sampaio (BA),0.0553514882837239,0.723115896136795,Bahia,2931400,Parda
Teofilândia (BA),0.184992086397915,0.562657108276697,Bahia,2931509,Parda
Teolândia (BA),0.133391749797789,0.644985171205177,Bahia,2931608,Parda
Terra Nova (BA),0.0481137233460908,0.704678590955245,Bahia,2931707,Parda
Tremedal (BA),0.322626108403312,0.625814786540607,Bahia,2931806,Parda
Tucano (BA),0.336601930634515,0.592964248922126,Bahia,2931905,Parda
Uauá (BA),0.329999176751461,0.609697867786285,Bahia,2932002,Parda
Ubaíra (BA),0.217873417721519,0.647088607594937,Bahia,2932101,Parda
Ubaitaba (BA),0.151515151515152,0.619303078633222,Bahia,2932200,Parda
Ubatã (BA),0.140617501199808,0.68952967525196,Bahia,2932309,Parda
Uibaí (BA),0.30994495412844,0.571963302752294,Bahia,2932408,Parda
Umburanas (BA),0.18,0.737176470588235,Bahia,2932457,Parda
Una (BA),0.103649937785151,0.742181667357943,Bahia,2932507,Parda
Urandi (BA),0.285436657354549,0.664520830802867,Bahia,2932606,Parda
Uruçuca (BA),0.179109744416999,0.624287946766144,Bahia,2932705,Parda
Utinga (BA),0.211192428327739,0.683321410884279,Bahia,2932804,Parda
Valença (BA),0.172982361167501,0.612081021338025,Bahia,2932903,Parda
Valente (BA),0.305130293159609,0.619543973941368,Bahia,2933000,Parda
Várzea da Roça (BA),0.374075148701581,0.521688669664877,Bahia,2933059,Parda
Várzea do Poço (BA),0.3101258515183,0.618635261517146,Bahia,2933109,Parda
Várzea Nova (BA),0.220454371605599,0.620592059970933,Bahia,2933158,Parda
Varzedo (BA),0.175979800197607,0.643539356680206,Bahia,2933174,Parda
Vera Cruz (BA),0.106023903958261,0.618920861394309,Bahia,2933208,Parda
Vereda (BA),0.299852941176471,0.62,Bahia,2933257,Parda
Vitória da Conquista (BA),0.324557458678763,0.568447260023985,Bahia,2933307,Parda
Wagner (BA),0.151285761994879,0.748636313035734,Bahia,2933406,Parda
Wanderley (BA),0.272006407689227,0.647496996395675,Bahia,2933455,Parda
Wenceslau Guimarães (BA),0.139663797377079,0.64437333814052,Bahia,2933505,Parda
Xique-Xique (BA),0.192924279690794,0.652933942375263,Bahia,2933604,Parda
Abadia dos Dourados (MG),0.697792362768496,0.255668257756563,Minas Gerais,3100104,Branca
Abaeté (MG),0.541780520052887,0.380828558836492,Minas Gerais,3100203,Branca
Abre Campo (MG),0.41003681165953,0.513710465028924,Minas Gerais,3100302,Parda
Acaiaca (MG),0.196938775510204,0.583673469387755,Minas Gerais,3100401,Parda
Açucena (MG),0.201342934994161,0.689762553522771,Minas Gerais,3100500,Parda
Água Boa (MG),0.220401447844686,0.706679828891083,Minas Gerais,3100609,Parda
Água Comprida (MG),0.606913580246914,0.293333333333333,Minas Gerais,3100708,Branca
Aguanil (MG),0.650468672915639,0.284657128761717,Minas Gerais,3100807,Branca
Águas Formosas (MG),0.277179501055252,0.667298013961794,Minas Gerais,3100906,Parda
Águas Vermelhas (MG),0.255855997484672,0.684011947806949,Minas Gerais,3101003,Parda
Aimorés (MG),0.39208301614648,0.54128771184743,Minas Gerais,3101102,Parda
Aiuruoca (MG),0.69311911716975,0.221681272314184,Minas Gerais,3101201,Branca
Alagoa (MG),0.708379475821336,0.258028792912514,Minas Gerais,3101300,Branca
Albertina (MG),0.814967387572949,0.145897699965671,Minas Gerais,3101409,Branca
Além Paraíba (MG),0.442458295729133,0.350781682145041,Minas Gerais,3101508,Branca
Alfenas (MG),0.682146584793895,0.244330581649113,Minas Gerais,3101607,Branca
Alfredo Vasconcelos (MG),0.601152263374486,0.344691358024691,Minas Gerais,3101631,Branca
Almenara (MG),0.285570599613153,0.617511283043198,Minas Gerais,3101706,Parda
Alpercata (MG),0.291689905186838,0.603179029559398,Minas Gerais,3101805,Parda
Alpinópolis (MG),0.718249675465167,0.227715274772826,Minas Gerais,3101904,Branca
Alterosa (MG),0.759568418750456,0.216300940438871,Minas Gerais,3102001,Branca
Alto Caparaó (MG),0.609212761940721,0.352463658674721,Minas Gerais,3102050,Branca
Alto Rio Doce (MG),0.541162924582614,0.369027058146229,Minas Gerais,3102100,Branca
